模型版本,类别数量,H5大小(MB),TFLite大小(MB),类别,参数数量,训练时间(秒),训练样本,验证样本,测试样本
原始训练,6,13.3,2.7,"['cheese', 'chicken', 'dairy', 'eggs', 'fish', 'fruits']",,,,,
优化训练,6,13.3,2.7,"['cheese', 'chicken', 'dairy', 'eggs', 'fish', 'fruits']","2,621,126",394.5,420.0,140.0,140.0
