architecture,total_params,trainable_params,estimated_h5_size_mb,estimated_tflite_size_mb,estimated_flops_m,build_time_sec,speed_rating,accuracy_rating,efficiency_score
mobilenet_v2,3737798,1478022,14.258567810058594,3.5646419525146484,1.868899,1.592099666595459,4,4,4.2805951525470345
mobilenet_v2_lite,2861878,1478022,10.917198181152344,2.729299545288086,1.430939,1.4695446491241455,5,3,5.24131357101875
resnet50,25853958,2264454,98.6250228881836,24.6562557220459,31.024749599999996,2.718332529067993,1,4,0.1547151890631214
